Id,Expected
0,negative
1,negative
2,positive
3,positive
4,neutral
5,negative
6,negative
7,negative
8,negative
9,neutral
10,positive
11,neutral
12,positive
13,positive
14,negative
15,negative
16,positive
17,negative
18,neutral
19,negative
20,negative
21,neutral
22,negative
23,negative
24,neutral
25,negative
26,negative
27,negative
28,negative
29,negative
30,positive
31,positive
32,neutral
33,negative
34,negative
35,negative
36,neutral
37,negative
38,negative
39,negative
40,negative
41,negative
42,positive
43,negative
44,negative
45,neutral
46,negative
47,negative
48,neutral
49,negative
50,negative
51,negative
52,neutral
53,neutral
54,positive
55,negative
56,positive
57,negative
58,neutral
59,negative
60,neutral
61,negative
62,negative
63,negative
64,neutral
65,neutral
66,negative
67,negative
68,neutral
69,negative
70,negative
71,negative
72,neutral
73,positive
74,negative
75,neutral
76,negative
77,negative
78,positive
79,negative
80,negative
81,negative
82,negative
83,neutral
84,negative
85,neutral
86,negative
87,negative
88,negative
89,negative
90,positive
91,negative
92,negative
93,negative
94,negative
95,positive
96,negative
97,negative
98,negative
99,negative
100,negative
101,negative
102,negative
103,neutral
104,negative
105,negative
106,neutral
107,negative
108,positive
109,negative
110,negative
111,neutral
112,neutral
113,negative
114,neutral
115,negative
116,negative
117,positive
118,negative
119,negative
120,negative
121,negative
122,negative
123,negative
124,positive
125,negative
126,neutral
127,negative
128,negative
129,negative
130,positive
131,negative
132,negative
133,neutral
134,negative
135,negative
136,neutral
137,positive
138,positive
139,positive
140,negative
141,negative
142,neutral
143,negative
144,negative
145,negative
146,negative
147,negative
148,positive
149,negative
150,negative
151,negative
152,neutral
153,positive
154,negative
155,negative
156,negative
157,neutral
158,negative
159,negative
160,negative
161,positive
162,negative
163,neutral
164,negative
165,positive
166,neutral
167,neutral
168,neutral
169,negative
170,positive
171,negative
172,negative
173,negative
174,negative
175,negative
176,positive
177,negative
178,negative
179,negative
180,positive
181,negative
182,negative
183,neutral
184,positive
185,negative
186,negative
187,negative
188,negative
189,negative
190,neutral
191,neutral
192,negative
193,negative
194,positive
195,negative
196,negative
197,negative
198,neutral
